Date,Close/Last,Volume,Open,High,Low
10/16/2024,$576.79,11268380,$581.395,$582.08,$574.03
10/15/2024,$586.27,9564236,$590.16,$590.61,$580.143
10/14/2024,$590.42,8251971,$594.22,$600.10,$589.96
10/11/2024,$589.95,8587051,$584.83,$591.21,$582.71
10/10/2024,$583.83,7740449,$587.57,$590.23,$582.52
10/09/2024,$590.51,9529707,$593.99,$594.39,$581.61
10/08/2024,$592.89,7857377,$589.69,$593.56,$585.97
10/07/2024,$584.78,12014200,$598.22,$602.95,$584.04
10/04/2024,$595.94,14199790,$583.73,$596.85,$581.43
10/03/2024,$582.77,11580980,$570.15,$583.36,$568.73
10/02/2024,$572.81,6524650,$574.86,$576.00,$569.34
10/01/2024,$576.47,15259270,$577.98,$583.04,$570.10
09/30/2024,$572.44,12807210,$567.70,$574.68,$564.80
09/27/2024,$567.36,9398367,$570.10,$570.8399,$564.51
09/26/2024,$567.84,14400790,$575.73,$577.40,$562.3501
09/25/2024,$568.31,16543350,$564.05,$576.88,$563.72
09/24/2024,$563.33,12992960,$566.68,$567.745,$554.19
09/23/2024,$564.41,12830670,$569.50,$573.9799,$562.41
09/20/2024,$561.35,22066820,$560.00,$564.50,$556.3001
09/19/2024,$559.10,15646950,$550.00,$562.07,$546.52
09/18/2024,$537.95,10323540,$537.065,$544.20,$533.9026
09/17/2024,$536.315,11690780,$537.60,$542.10,$530.57
09/16/2024,$533.28,9527646,$524.54,$534.10,$517.40
